,Date,change,News
646,2016-05-25,1,"['EU to pursue checks on web platform deals with businesses', 'Irish privacy watchdog refers Facebook s U S  data transfers to EU court', 'India says Apple must sell locally sourced goods to set up stores  source', 'For some U S  companies  millennials are giving way to Generation Z', 'Column  The downward spiral of IPO generations', 'Exclusive  Apple explores charging stations for electric vehicles']"
647,2016-05-26,1,"['U S  stocks remain cautious ahead of Yellen  oil trades back below  50', 'U S  stocks mixed as investors trade cautiously ahead of Yellen s speech', 'Wall Street hits  pause  after two day surge', 'Samsung Elec to launch Samsung Pay web payments app  Electronic Times', 'Netflix  Time Warner jump on report of interest from Apple']"
648,2016-05-27,1,['Push for encryption law falters despite Apple case spotlight']
649,2016-05-31,1,['Prosecutors sue to recover life insurance held by San Bernardino shooter']
650,2016-06-01,-1,"['Beset by rivals and record labels  Spotify plots path to profit', 'U S  stocks hold onto gains  amid modest growth in Fed s Beige Book', 'Early days  but Apple Pay struggles outside U S ']"
651,2016-06-02,1,['Healthcare helps Wall St  to slight gains  jobs report next']
652,2016-06-03,1,"['Apple says all services resume after outage', 'Tiger Global climbs in May  other funds post gains as well']"
653,2016-06-06,1,['U S  may boost incentives for consumer spending surveys']
654,2016-06-07,-1,['Sovereign wealth funds throw funding lifeline to tech ventures']
655,2016-06-08,-1,['Apple case against Samsung should go back to lower court  Justice Dept']
656,2016-06-09,1,"['Spotify co founder Ek says no intention to sell', 'Apple case against Samsung should go back to lower court  Justice Department', 'Vodafone to merge New Zealand unit with Sky Network in  2 4 billion deal', 'U S  Congress scrutinizes pay TV billing  competitive practices']"
657,2016-06-10,1,"['Exclusive  Amazon is preparing to launch streaming music service   sources', 'Trump s corporate targets face tricky task in fending off his attacks']"
660,2016-06-15,-1,"['As Sharp  Japan Display struggle  smaller Japan tech firms thrive in OLED niche', 'China s Didi Chuxing raises  7 billion in new funding  source']"
662,2016-06-17,-1,"['Apple slumps on ban of iPhone 6 sales in China', 'U S  stocks falter as Apple weighs  most dovish Fed member revealed', 'Apple says iPhones still available for sale in China  CNBC', 'Wall St  ends week on down note as Apple weighs', 'U S  cable industry proposes allowing consumers to scrap set top boxes']"
663,2016-06-20,-1,"['Apple s Russell index weighting to fall  shares may drop ', 'Days after RBI chief steps down  India eases foreign investment rules', 'Gold ticks down  as global stocks soar amid easing Brexit concerns', 'Trump fires campaign manager in shakeup for election push', 'Spotify monthly active user base reaches 100 million', 'Apple to lose weighting in Russell index  shares could fall']"
664,2016-06-21,1,['Samsung takes fight to Apple with mobile wallet strategy']
665,2016-06-22,-1,"['Foxconn to close some of Sharp s overseas ops  hasten patents to market', 'BlackBerry s top goal to make devices profitable this year  CEO']"
666,2016-06-23,1,"['Germany embraces glitzy offices to shake up corporate culture', 'Supercell leads rise of action heavy games on smartphones']"
667,2016-06-24,1,"['EU  United States agree on changes to strengthen data transfer pact', 'Ireland says well placed to lure firms from London post Brexit']"
669,2016-06-28,1,"['South Korea antitrust regulator says investigating Apple on  some matters ', 'London start up scene weighs threat of British Techxit', 'Taiwanese chip supplier says Apple conservative on orders  Nikkei']"
670,2016-06-29,1,['Sony upbeat on games and robots but cuts outlook for image sensors']
671,2016-06-30,1,"['Nike announces Phil Knight s retirement  promotion for Tim Cook ', 'Google s diversity efforts show scant progress']"
672,2016-07-01,1,"['Apple fires back at Spotify over music streaming claims', 'Greenlight sees small loss in June  JANA off a bit more', 'ING planning Europe wide website as one stop shop for customers']"
673,2016-07-05,-1,"['Samsung Electronics set for best quarter in over two years on second quarter smartphone boost', 'Netflix coming to Comcast s X1 boxes later this year']"
674,2016-07-06,1,"['P G being investigated by Italian authorities   Bloomberg', 'Wal Mart mobile pay service rollout complete  repeat usage jumps', 'Smartphones lift Samsung Electronics to best profit in over two years', 'China s Alibaba puts internet in cars  plans to take drivers out']"
676,2016-07-08,1,"['Nintendo shares soar as new Pokemon mobile game captures hearts', 'EU U S  commercial data transfer pact clears final hurdle', 'Facebook tests end to end encryption on Messenger']"
677,2016-07-11,1,['Pokemon game adds  7 5 billion to Nintendo market value in two days']
678,2016-07-12,1,"['LG Display sees signs of display market improvement', 'U S  senator probes Pokemon GO maker over data privacy concerns']"
679,2016-07-13,-1,"['U S  stocks mixed at close of trade  Dow Jones Industrial Average up 0 13', 'Pokemon GO could be next big marketing tool for retailers', 'Nintendo shares jump 9 5 percent on Pokemon GO phenomenon']"
681,2016-07-15,-1,['S P 500 s record highs held back by Apple s falling stock price']
682,2016-07-18,1,"['SoftBank to buy UK chip designer ARM in  32 billion cash deal', 'U S  stocks higher at close of trade  Dow Jones Industrial Average up 0 09']"
684,2016-07-20,-1,"['Taiwan June export orders fall for 15th month  but U S  and Europe demand pick up', 'Pokemon Go seen making billions for Apple', 'Strong demand from China buoys Qualcomm forecast']"
685,2016-07-21,-1,"['Trump leaves some on Wall Street wary and confused', 'PayPal seeks to extend reach with Visa tie up']"
686,2016-07-22,-1,"['Silicon Valley leads avalanche of quarterly reports', 'Samsung Elec sues Huawei in China for patent infringement', 'Apple to open first Apple Store in Taiwan']"
687,2016-07-25,-1,['Wall St  declines as earnings take center stage']
688,2016-07-26,-1,"['U S  stocks mixed  as investors brace for subdued Apple earnings', 'LG Display guides for earnings recovery after second quarter slump', 'Apple Q3 EPS estimated  1 38 on revenues of  42 34 bn', 'Top 5 Things to Know In the Market on Tuesday', 'U S  stock futures struggle for direction ahead of earnings  Fed', 'Dow earnings roundup  MCD  VZ  DD  UTX  MMM and CAT', 'U S  stocks lower amid slew of earnings and data while waiting for Fed']"
689,2016-07-27,-1,"['U S  stocks mixed  as bond yields tumble after Fed stands pat', 'Apple CEO touts future technology amid iPhone worries', 'Apple sells more iPhones than expected  shares jump after hours', 'Nintendo posts first quarter loss  delays launch of accessory for Pokemon GO', 'Top 5 things to watch today', 'U S  stock index futures higher as more earnings await ']"
690,2016-07-28,1,"['Samsung Electronics tips  solid  second half profits on components pickup', 'SoftBank sees sharp recovery for Sprint  flags much investment for ARM', 'Weekly Comic  Apple  Google   Facebook take over the world', 'Toy robot maker Wonder Workshop raises  20 million in second funding round', 'U S  stocks mixed at close of trade  Dow Jones Industrial Average down 0 09', 'Wall St  edges up  Alphabet and Amazon rise after the bell']"
691,2016-07-29,1,['Apple asks U S  Supreme Court to rule against Samsung over patents']
692,2016-08-01,1,"['Pharma and tech converge in  fantastic voyage  to fight disease', 'Judge voids VirnetX s  625 6 million Apple verdict  VirnetX plunges', 'U S  stocks mixed at close of trade  Dow Jones Industrial Average down 0 15', 'Wall St  edges lower as energy sector weighs', 'After bruising China battle  Uber cedes to rival Didi']"
693,2016-08-02,-1,"['Instagram s Snapchat like feature allows 24 hour limit posts', 'Samsung Electronics unveils new curved screen Galaxy Note phone in H2 sales push']"
694,2016-08-03,1,['Pokemon Go creators launch game in Rio ahead of Games']
695,2016-08-04,1,"['Designers come out for Apple in patent fight with Samsung', 'Twitter loses another corporate communications executive']"
696,2016-08-05,1,['Icahn declines to join Trump economic team  mulls second Super PAC']
697,2016-08-08,1,"['Amazon Japan raided on suspicion of antitrust practices  Nikkei', 'Russia says investigating iPhone price fixing allegations', 'U S  stocks lower at close of trade  Dow Jones Industrial Average down 0 08']"
698,2016-08-09,1,"['Struggling Japan Display says state fund promises full financial support', 'Apple rejects iPhone price fixing allegations in Russia', 'It s all in the wrist  Apple s tactic for a little Games glory', 'Trump flops with Silicon Valley donors  Clinton falls short  too', 'Out of control California wildfire grows  forces schools to close']"
700,2016-08-11,-1,['Didi s Cheng Wei  Chinese patriot who tamed Uber']
702,2016-08-15,1,"['Wall St  ends at record highs  commodity shares climb', 'Berkshire takes bigger bite of Apple  pares Wal Mart', 'Billionaire investors turn bearish as U S  stocks hit record highs']"
703,2016-08-16,-1,"['Apple s Cook says to increase investment in China  China state TV', 'U S  stocks lower as Fed official remarks trump CPI data on rate hikes']"
704,2016-08-17,1,"['China says cyber rules no cause for foreign business concern', 'Target says low demand for Apple products hurts electronics sales', 'BlackRock s largest mutual fund warns on U S   ups Japan stake']"
705,2016-08-18,-1,['Lenovo first quarter profit leaps  helped by asset sale  but smartphone losses linger']
706,2016-08-19,1,['Australia denies banks interim approval to jointly negotiate with Apple on payment apps']
707,2016-08-22,-1,"['Wall St  little changed as biotechs offset energy drop', 'U S  stocks mixed at close of trade  Dow Jones Industrial Average down 0 12', 'Samsung plans refurbished smartphone program  source', 'Foxconn says two employees at China plant died  cooperating with investigations']"
708,2016-08-23,1,"['Sharp to review TV licensing deals to boost global presence', 'Mobileye  Delphi to develop self driving system', 'Best Buy profit beats estimates  shares surge', 'Wall St  edges higher on tech  housing boost', 'Samsung Electronics says Galaxy Note 7 demand beats supply']"
709,2016-08-24,-1,"['Samsung  Tencent surge in race to become Asia s most valuable firm', 'Daimler adopts Silicon Valley tactics to counter new rivals', 'U S  appeals court sends BlackBerry lawsuit back to lower court']"
710,2016-08-25,1,"['Tech firms  encryption foe struggles for U S  Senate re election', 'Brussels rebuffs U S  attack on EU tax investigations', 'Apple fixes security flaw after UAE dissident s iPhone targeted']"
712,2016-08-29,1,"['Apple is sued over unresponsive iPhone 6 touchscreens', 'Wall St  gains as data points to budding economy', 'Miracle needed to reach Open final  says Muguruza', 'Facebook CEO says group will not become a media company']"
713,2016-08-30,1,"['EU hits Apple with 13 billion euro Irish tax demand', 'Pacific trade pact remains top issue for Obama administration', 'EU ruling on Apple stirs calls for U S  tax reform', 'Ireland gave Apple illegal tax benefits of up to  13 bn  EC', 'Apple shares down over 2  after EC illegal tax benefit ruling', 'U S  stock index futures flat as Fed rate clues waited ', 'Apple CEO Cook labels EU  14 5 billion ruling unfounded', 'Apple CEO says EC  14 5 billion tax ruling unfounded', 'Wall St edges lower as market seeks more Fed rate input ', 'British tech champion ARM s sale to Japan s SoftBank wins shareholder nod', 'Apple hit by EU Commission with  14 5 billion Irish tax bill']"
714,2016-08-31,1,"['After Apple  EU may focus on companies closer to home', 'U S  accuses EU of grabbing tax revenues with Apple decision', 'India accords residency status to foreign investors', 'Dubliners divided over Apple windfall dilemma', 'Irish cabinet delays decision on Apple tax appeal', 'Apple tax windfall could help ease Ireland s debts says SP', 'Cooperman on CNBC says U S  equities  fairly but fully valued ']"
715,2016-09-01,1,"['Samsung mobile recovery suffers blow as Galaxy Notes  catch fire ', 'French finance minister says  normal that Apple should pay normal taxes ', 'EU ruling on Apple s Irish tax is  total political crap   CEO', 'Wall Street flat as tech offsets manufacturing data', 'Obama likely to address corporate tax avoidance at G20  White House', 'EU s Vestager warns others  says Apple could cut bill']"
716,2016-09-02,1,"['Starbucks  Amazon pay less tax than a sausage stand  Austria says', 'Samsung recalls Galaxy Note 7 phones after battery fires', 'Samsung Electronics considers Galaxy Note 7 recall  source', 'Ireland to join Apple in fight against EU tax ruling']"
717,2016-09-06,-1,"['Samsung trips on quality control in rush to pip Apple', 'EU finance ministers to discuss how to make tax policy more evenhanded', 'U S  companies tout climate policies  fund climate skeptics', 'Tax avoidance must be targeted in EU equality push  Eurogroup head', 'China s online chatter muted ahead of Apple iPhone 7 launch']"
718,2016-09-07,1,"['Apple to unveil iPhone 7  many seen waiting for 8', 'Wall St flat as rate hike debate continues ', 'Stock options suggest calm ahead of Apple launch', 'Apple sets stage for iPhone 7  many already waiting for 8', 'Apple jack ax ushers in a voice driven world', 'Irish government wins strong backing by parliament for EU Apple appeal', 'Apple hones marketing for Watch with focus on fitness', 'LG Electronics seeks to revive mobile arm with new V20 smartphone', 'Top 5 Things to Know In the Market on Wednesday', 'Top 5 things to watch today', 'U S  stock index futures flat as rate hike bets off ']"
719,2016-09-08,-1,"['Apple weighs on Wall St  energy shares a boost', 'Nintendo shares rocketed up over 28  after announcing Mario is coming to iPhone', 'Top 5 Things to Know in the Market on Thursday', 'Top 5 things to watch today', 'U S  futures point to steady to higher open  eyes on ECB', 'U S  stock index futures edge higher as oil jumps ', 'Weekly Comic  Apple s new iPhone doesn t create the same buzz anymore', 'Apple down 2  after iPhone7 launch  no weekend sales data', 'Taiwan s Foxconn invests in Chinese ride hailing start up Didi Chuxing', 'Apple will not give first weekend sales of iPhone 7', 'China Aug imports rise for first time in nearly two years as demand picks up']"
720,2016-09-09,-1,"['German jitters weigh on stocks  ECB doubts lift yields', 'U S  futures point to lower open after ECB disappoints']"
721,2016-09-12,1,"['Samsung scion to take board role at flagship amid Note 7 shock', 'S P 500 racks up sharpest rise since July', 'HSBC retail head sees more bank partnerships with financial tech firms', 'JPMorgan executive says digital wallets have yet to catch on', 'Samsung  LG sued over U S  employee recruiting policies']"
722,2016-09-13,1,"['Trump presidency could cost U S  economy  1 trillion  Oxford Economics', 'Pandora signs license deals with Sony  Universal Music', 'China s ATL to become main battery supplier for Samsung s Galaxy Note 7  source', 'Sprint  T Mobile iPhone pre orders boost Apple shares', 'Tumbling oil sends Wall Street into a slide']"
723,2016-09-14,1,"['Fed jitters and oil pull Wall Street lower  Apple rallies', 'Thai CEO challenges regulator s first executive penalty since insider trading scandal', 'Pirate booty  Startups see new ad market in illegal downloaders', 'Russia s sole liberal opposition MP fights for political survival', 'U S  yield curve at steepest in two months  stocks rise', 'Juncker upsets Web firms with EU internet plan']"
724,2016-09-15,1,"['Wall Street surges on lower rate hike fears  Apple ascends', 'Samsung to replace or refund 1 million U S  Galaxy Note 7 phones', 'Japan government advisory panel says Apple  Google hinder app competition', 'Apple says initial quantities of iPhone 7 Plus sold out', 'U S  stock index futures higher ahead of economic data ', 'Pandora launches new radio service  Pandora Plus ', ' Wall St higher after mixed U S  data  Apple adds to gains ', 'Apple stock heads for best four days since 2014  short sellers flee', 'U S  tax avoidance clampdown a potential headache for Apple']"
725,2016-09-16,-1,"['Apple fans hit the NYC flagship store for iPhone 7', 'Fans cheer  but Asia gives iPhone 7 subdued welcome', 'Deutsche Bank to fight  14 billion demand from U S  authorities']"
726,2016-09-19,-1,['GE brings off the shelf biotech drug factories to Ireland']
727,2016-09-20,1,"['GM sets Bolt electric car price at  37 495', 'EC competition official  no new wave of U S  tax probes', 'Apple s iPhone 7 more expensive to make  IHS Markit']"
728,2016-09-21,-1,"['Google launches Allo  bets on AI to spice up chats', 'Supercar maker McLaren says not in discussion with Apple', 'U S  carrier Verizon starts taking orders for new Samsung Note 7 phones', 'BlackBerry to resell app from startup that found major Android bug']"
729,2016-09-22,1,"['Macy s teams up with grooming services provider in beauty push', 'EU reviews ex commissioner Kroes  offshore directorship', 'Wall Street extends Fed fueled rally  Nasdaq hits new high']"
730,2016-09-23,-1,"['Wall Street falls as energy lags  shares post gains on week', 'Exclusive  Japan s antitrust watchdog considers action against Apple  carriers   sources', 'Samsung phone emits smoke on Indian plane mid air  no damage', 'U S  stocks lower at close of trade  Dow Jones Industrial Average down 0 71']"
731,2016-09-26,1,"['Canvas Ventures raises  300 million fund to back startups', 'LVMH s digital drive takes time despite Apple hire', 'U S  Senate s top tax lawmaker targets corporate offshore profits']"
732,2016-09-27,1,['Aetna to offer Apple Watch at a discount to certain customers']
733,2016-09-28,1,"['BlackBerry avoids smartphone risk with outsource move  CEO', 'Spotify in advanced talks to buy SoundCloud  FT', 'Illinois man pleads guilty in celebrity nude photo hacking scandal', 'Apple to make landmark Battersea Power Station its new London home']"
734,2016-09-29,-1,"['U S  stocks slip after OPEC deal and Fedspeak', 'Wall Street falls sharply on worries about banks', 'NXP Semiconductors explores sale to Qualcomm  sources']"
735,2016-09-30,1,"['Samsung slammed by Chinese state TV over Note 7 recall  discrimination', 'Qualcomm to fight EU antitrust charge at November 10 hearing  sources', 'Udacity s self driving car engineering degree lures over 11 000 hopefuls']"
736,2016-10-03,-1,['Trump s tax writeoff shows his  genius  at business  advisers say']
737,2016-10-04,-1,"['Apple launches Apple Pay payment service in Russia', 'U S  stocks lower at close of trade  Dow Jones Industrial Average down 0 47', 'Google takes on Apple  Amazon with new hardware push']"
738,2016-10-05,-1,['Dialog Semi reviews guidance as Chinese holiday boosts third quarter sales']
739,2016-10-06,1,"['Taiwan s MediaTek to triple India workforce to 1 500 within three years', 'Top 5 things to watch today', 'U S  stock index futures lower ahead of jobs data  Twitter sinks 14', 'Fighting fires  Samsung struggles to limit damage from smartphone recall', 'Samsung sees third quarter profit jump as chip surge eases smartphone recall blues', 'Lenovo in talks to take over Fujitsu s PC business  source', 'Twitter tumbles 12  on reports of potential bidders backing out']"
740,2016-10-07,-1,"['Netflix CEO says China entry  doesn t look good ', 'Google starts big advertising push around new Pixel phone', 'U S  court reinstates Apple  120 million patent win over Samsung', 'Deutsche Bank gets top investor support  CEO in talks with banks', 'U S  pressed to disclose secret court s order on Yahoo email search', 'Sony to return image sensors to full capacity on smartphone pickup']"
741,2016-10-10,1,"['Wall Street gains with energy shares  Apple up on Samsung woes', 'Verizon may shift holiday marketing away from Note 7  spokeswoman', 'Shares in Asia gain as China Q3 economy figures seen promising', 'U S  top court to hear Apple Samsung feud over iPhone designs', 'EU s Vestager says not investigating Google s European tax deals', 'Apple stock hits highest since December on Samsung Note 7 fire crisis', 'U S  stocks higher at close of trade  Dow Jones Industrial Average up 0 49']"
742,2016-10-11,-1,"['Note 7 fiasco could burn a  17 billion hole in Samsung accounts', 'U S  stock index futures lower as oil slips ', 'U S  must stop judicial  extortion  of corporate Europe  French lawmakers say', 'Samsung scraps Galaxy Note 7 over fire concerns', 'Apple Samsung iPhone patent feud leaves U S  top court struggling']"
743,2016-10-12,-1,"['Samsung s ditching of flagship phone portends Android turf war', 'Samsung slashes third quarter profit estimate by a third after pulling plug on Note 7', 'Amazon challenges Apple and Spotify with new music streaming service', 'Samsung s latest invention  a fireproof box for Note 7 returns', 'Apple to set up R D center in Shenzhen  bolster China ties']"
744,2016-10-13,1,"['Taiwan s TSMC lifts 2016 revenue forecast after third quarter surge  analysts see iPhone 7 boost', 'Samsung offers financial incentives to stem Note 7 bleeding']"
745,2016-10-14,-1,['Samsung flags  5 3 billion profit hit from Note 7 failure']
748,2016-10-19,-1,"['China s LeEco unveils a car  but cannot make it drive', 'Smartphone component supplier Laird warns of lower FY profit  shares plunge', 'At crisis hit Samsung  nerves jangle as annual review looms']"
751,2016-10-24,1,"['S P hits two week high on strong earnings  M A supports', 'Top 5 Things to Know In the Market on Monday', 'U S  stock futures rise ahead of manufacturing PMI  earnings on tap', 'T Mobile raises forecast  sees  upside  from AT T Time Warner deal']"
752,2016-10-25,1,"['U S  stocks trade lower after mixed blue chip earnings and data', 'BlackBerry launches last phone it will carry on its books', 'Target to offer more deals  extend free shipping until January', 'AT T aims to break from streaming crowd with Time Warner', 'Apple s holiday surprise  big sales  not so big profits', 'GM s OnStar  IBM s Watson combine to market brands to drivers', 'U S  stock index futures higher ahead of earnings flow ', 'Top 5 things to watch today', 'U S  stock futures flat amid earnings dump  consumer confidence ahead', 'Dow earnings roundup  UTX  PG  MRK  MMM  DD  V  CAT', 'Gadgets in decline as R D shifts to software and services  study', 'Wall St flat after mixed earnings  consumer confidence ebbs ']"
753,2016-10-26,1,"['OPPO leapfrogs smartphone rivals with ad blitz and sales force', 'Nintendo cuts profit forecast as strong yen overwhelms Pokemon', 'Oil price declines weigh on European markets', 'Commodity traders must go digital or face extinction  report', 'In China  some Apple users opt for iPhone makeover rather than buy new', 'Wall St off lows as Apple falls  oil bounces on EIA data ', 'Apple slips as supply woes weigh on holiday sales forecast', 'Global stocks mostly lower as dollar firm  oil falls ', 'U S  stock index futures down  Apple off 3  as Q4 report roils', 'Top 5 things to watch today']"
754,2016-10-27,-1,"['Qualcomm to buy NXP for  38 billion in biggest chip deal', 'Apple says AirPod shipments to be delayed', 'Samsung Electronics vows mobile rebound  dangles buyback after Note 7 shock', 'U S  stock index futures flat to lower as oil steadies ', 'Apple edges higher ahead of keynote presentation ', 'Wall St lower after Q3 results  Qualcomm up on NXP deal', 'U S  stocks mixed amid earnings flood  bonds up bets for rate hike']"
755,2016-10-28,-1,['Amazon targets Chinese demand for overseas shopping with Prime launch']
756,2016-10-31,-1,"['Australia regulator on lookout for big banks buying fintech startups', 'CenturyLink to buy Level 3 Communications for about  24 billion', 'BlackBerry in software deal with Ford  first with an automaker', 'Women executives left Yahoo amid layoffs  deal talk', 'Samsung Electronics CEO says firm must learn from crisis']"
757,2016-11-01,-1,"['Hedge fund raided by the FBI  There s an app for that', 'Instagram to test new shopping feature', 'U S  stocks lower at close of trade  Dow Jones Industrial Average down 0 58', 'Sharp forecasts first annual operating profit in three years', 'Airbnb tells China users personal data to be stored locally']"
758,2016-11-02,1,['Qualcomm reports better than expected quarterly revenue']
759,2016-11-03,-1,"['JPMorgan plants digital payment flag at Wal Mart', 'Whole Foods founder Mackey retakes helm in turnaround', 'Alphabet s Google moves to upgrade app store', 'Huawei launches new premium phone that can learn', 'Drop in Facebook s stock makes for good time to connect  analysts']"
760,2016-11-04,1,"['Samsung America says it has replaced most recalled Galaxy Note 7s', 'Berkshire profit falls 24 percent  keeps Wells Fargo stake']"
761,2016-11-07,1,"['NBCUniversal takes over ad sales on Apple News app', 'Google updates Android Auto to display specialized interface directly on phones', 'NBCUniversal in deal to sell ads for Apple News']"
762,2016-11-08,1,"['Ireland to formally submit appeal on Apple case this week', 'Ireland to officially appeal Apple tax ruling tomorrow']"
763,2016-11-09,1,"['Ireland says Trump plans should not hurt it as multinational hub', 'Trump win raises fears over climate change goals  hits renewable stocks', 'Baird observes post election overseas implications for Apple', 'Wal Mart Pay in talks with several mobile wallet companies']"
764,2016-11-10,-1,"['Department store shares get a boost from upbeat Macy s and Kohl s', 'Alibaba reports Singles  Day sales at  1B within opening five minutes', 'Trump election ignites fears over U S  encryption  surveillance policy', 'Loeb s Third Point takes share stake in Apple  Visa and Dell', 'Toshiba returns to second quarter operating profit on strong memory chip sales', 'Judge orders Amazon refunds for children s in app purchases', 'Potential winners and losers if Trump s plans materialize ', 'Google files response to European Commission s charges on Android']"
765,2016-11-11,1,"['Japan Display in talks for  704 million bailout from INCJ  WSJ', 'Amazon to refund in app purchases by kids', 'Alibaba s 11 11 Singles  Day event over benchmarks', 'Morgan Stanley observes advantage for Apple and others on proposed tax repatriation holiday']"
766,2016-11-14,-1,"['Drexel Hamilton s Brian White restates  185 Apple target amidst continued trend downward', 'U S  stocks mixed at close of trade  Dow Jones Industrial Average up 0 11', 'Apple stock extends losses after China warning about Trump', 'Bloomberg  Apple contemplating smart glass move', 'Apple considering expansion into wearable glasses  Bloomberg', 'Beijing warns of  naive  Trump tariff', 'In phone call  China s Xi tells Trump cooperation is only choice']"
767,2016-11-15,1,"['WhatsApp finally launches video calling', 'Chinese consumers  body takes up complaints of iPhone shutdowns with Apple', 'Kohl s looks for an edge with Apple partnership', 'Nintendo to sell  Super Mario Run  for  9 99', 'U S  manufacturing groups urge Trump to think hard about trade threats']"
768,2016-11-16,1,"['Amazon rolls out family plans for music service  announces one day Prime discount for launch of  The Grand Tour ', 'Target expresses confidence about holiday sales  shares rise', 'Apple  tech stocks show signs of life after Trump thump']"
769,2016-11-17,1,"['U S  internet firms ask Trump to support encryption  ease regulations', 'Google  an Obama ally  may face policy setbacks under Trump', 'Uber says Taiwan s steps against it hurt citizens  deter foreign investment', 'Huawei hopes cheaper Nova will maintain smartphone growth in Africa', 'Apple reportedly cutting App Store fees for video services']"
770,2016-11-18,1,"['Report  Apple weighs making iPhones in U S ', 'Taiwan to ask for removal of Uber apps from Apple  Google app stores', 'Uber says Taiwan s steps against it hurting citizens', 'HBO Now  Amazon Channels deal reported', 'Under pressure on U S  jobs  Ford tries new gambit with Trump']"
771,2016-11-21,1,"['EU has no concerns yet about UK s Nissan deal  awaits details', 'Trump picks regulation opponents to lead FCC transition']"
772,2016-11-22,-1,['India s Ola adds entertainment features as ride hailing competition rages']
773,2016-11-23,-1,['As Samsung moves on from Note 7 crisis  SDI battery affiliate struggles']
774,2016-11-25,1,['Wall Street finishes at record highs consumer staples  techs gain']
775,2016-11-28,1,"['Meitu s Hong Kong IPO to value China photo app maker at up to  4 5 billion  IFR', 'Israel s Cellcom launches app for Apple TV service', 'Apple is testing more than 10 different prototypes of the iPhone 8']"
776,2016-11-29,1,['Australian regulator set to oppose collective bank bargaining on Apple Pay']
777,2016-11-30,-1,"['Europe on track for record tech investments this year  Atomico', 'Netflix allows subscribers to binge watch shows offline', 'HP Enterprise  NXP win Thomson Reuters Foundation anti slavery awards', 'Two tech companies win first Stop Slavery Award after workforce scrutiny', 'Carrier gets state incentives  Trump pledge for keeping U S  jobs']"
779,2016-12-02,1,"['Move to name Paris street after Steve Jobs has leftists up in arms', 'Trump creates business advisory council stacked with CEOs', 'Sirius reapproaches Pandora for a takeover  source', 'Investor Cuban to testify at Senate hearing on AT T Time Warner deal']"
781,2016-12-06,1,"['California EPA says settled with Apple on hazardous waste claims', 'U S  Supreme Court backs Samsung in smartphone fight with Apple', 'Discounts  advertising spur brisk Apple Watch sales', 'London tech leaders propose post Brexit plan to British government', 'Apple says iPhone 6 battery fires in China likely caused by external factors', 'Cyber security start up Secdo raises  10 million', 'Apple Watch sales to consumers set record in holiday week  says Apple s Cook', 'Trump dumped all his stock holdings last June']"
782,2016-12-07,1,"['Foxconn says in preliminary discussions to expand its U S  operations', 'SoftBank s Son pledges  50 billion  Foxconn eyes U S  expansion as Trump woos Asian firms', 'Poll  U S  bull market seen extending into 2017 but Trump a wild card']"
783,2016-12-08,1,"['China s top court rules in Michael Jordan s favor in trademark case', 'Actively managed funds thrive amid seismic shift into indexing', 'AT T says vice chairman de la Vega to retire', 'WWE s China hopes rest on Bin Wang s big shoulders']"
784,2016-12-09,1,"['McDonald s to move international tax base to UK amid EU scrutiny', 'Exclusive  Japan s TDK in talks to buy iPhone supplier InvenSense   sources', 'Trump packs trade team with veterans of steel wars with China']"
785,2016-12-12,1,"['Hong Kong arrests 29 staff from five financial firms in bribery probe', 'Wall Street drifts lower as financial  tech stocks drag']"
786,2016-12-13,1,"['Tech employees vow not to help Trump surveil Muslims  deport immigrants', 'Wall St up as FOMC kicks off  DJI nears 20 000 mark', 'Apple AirPod headphones available for sale after two month delay', 'Apple wireless headphone now on sale after two month delay ', 'U S  stocks hit new record highs as Fed discusses rate hike', 'Trump s tough trade talk makes U S  firms fear China retribution', 'Meet Waymo  Google s self driving car company']"
787,2016-12-14,1,['Trump team says Twitter too small to be included in tech meeting']
788,2016-12-15,1,"['Blackberry says China s TCL to make BlackBerry branded devices', 'Lower CEO pay equates to higher shareholder rewards  James Saft', 'Share in Asia gain as currency swings provide opportunities']"
789,2016-12-16,-1,"['Porsche race car engineer joins Apple  source', 'Quadruple witching day is not that scary', 'EU court ruling on Spanish tax breaks eyed for clues on Starbucks  Apple appeals', 'Apple can sell iPhone 7s in Indonesia after R D investment commitment', 'With bylaw tweaks  Apple grants activist one of three wishes']"
790,2016-12-19,1,"['U S  stock futures higher with Yellen and service PMI on tap', 'U S  stocks move higher ahead of Yellen', 'Apple appeals against EU tax ruling  Brussels says no cause for low tax bill']"
791,2016-12-20,1,"['EU accuses Facebook of misleading it in WhatsApp takeover probe', 'Apple s new AirPods tough to recycle  report']"
792,2016-12-21,1,"['Japan s TDK to buy U S  chip maker InvenSense for  1 3 billion', 'Nintendo s mobile Mario game sets download record but pricing proves sticking point', 'EU court says Spanish tax breaks may infringe EU state aid laws', 'EU reprimands ex commissioner Kroes  recoups cash']"
793,2016-12-22,-1,"['Nokia files more patent suits against Apple', 'U S  government cancels 9 11 era registry for foreigners', 'European stocks steady to lower in light trade  DAX down 0 15']"
794,2016-12-23,1,"['Icahn regulatory role gives activist investors strong Washington voice', 'RBC s top big tech picks for 2017  AAPL  AVGO  NVDA  CSCO  TXN']"
795,2016-12-27,1,['U S  stocks higher at close of trade  Dow Jones Industrial Average up 0 06']
796,2016-12-28,-1,['Researcher found security holes at smartphone only bank N26']
