Text,Sentiment
coh,-1
HPQ head back 20 imo Funds oading,1
SEM see go,-1
I remain convince either Apple stock AAP another five years sell already There middle grind,1
user AAP next stop 435 low today 435 This stock may dead follow technicals tee,-1
I long AAP break even EAIEST I would sell 2014 dividend hike happen PE 9 right FY14 EPS 56,1
HP 7 straight green days little red bar signal switch track red normal profit take,-1
CSCO c mon 21,1
CBOE decrease volume slight red bar indicate 19 straight days time switch red bar take profit,-1
aapl symmetrical triangle 5 min look topside breakout,1
HES decrease volume red bar send back 57 2 point make go higher patience wait,-1
AAP drop 25 since Sep b concern maybe 10 bump Android phone sales mathfail oversell,1
HA get one red bar size ruin Jan 2 days target 46 4 point make go higher wait first red,-1
aapl long per earlier tweet topside breakout ST,1
INVN panic surge higher start short entries save red bar risky time top next move good scale start short,-1
AMZN SNTA ANA rip today even X set new time highs,1
INVN keep close eye one surge short bagholders may take 2 days first red bar finish top big short score make,-1
FOM break Friday high strong continuation higher likely Next resistance 5 37,1
GIS others first red bar major short target 40 test,-1
VVS ong set,1
DA volume decrease look start red bar sequence,-1
AAP Going interest see pop squeeze Jan 23rd see positive report,1
GMC gap 30 35 put weakest floor stock would surprise see spill BN everyone hot red coffee bar,-1
A week later stock trend bullish 5 Shale Plays 2013 APC HES COP MO DS B,1
ZQK first sign decrease volume 3 15 minute red bar catalyst volume short back 5 00 easy,-1
user xraystocktrader Great dividend pay continue upside Eager see next acquisitions CVX,1
SAM nothing hold mountain green bar eft shoulder red bar head smallone lol see red right bar start major short,-1
drug back lance go user arge cap Health well Both PFE JNJ hit new 52 week highs morning,1
AAP want buy around 350,-1
user ANF trigger 48 70 buy price Nice 15 min candle Need build intra day momentum,1
P see happen October Dec slide well go happen historic rise wait red start short,-1
HBI watch list briefly go line pule back volume ok 57 full day average,1
VMI nice head shoulder form need leave shoulder see go retest 140 138 range,-1
XXIA 5 min find helpful watch 9 period EMA pink use gap rule protect profit,1
user ABV INFN CBS look great short thank,-1
nice DE,1
AAP weekly say 350 modicum support The game long time back,-1
Student Nobiano make 14 roi BT trade Great sir,1
WNC consistent pattern new highs sell next one look like selloff,-1
user say might double money close end fund GSVC year Twitter pull good IPO,1
KBH try short Friday 18 25 test 18 come back 18 25 18 55 come back 18 33 I short attempt 2 break 18 target 16 50,-1
F buy 11 imo price target Feb options,1
user That IFE go turn like TPX TPX continue red similar pattern,-1
hedgestreettrading sons,1
NKD nov dec disease cure believer short,-1
HPQ 17 50 call Are Happy Now,1
Has anyone short ONP,-1
HPQ Trading Multiple oad Freaking BOAT IMO,1
JOSB hit risk profile quant macro view 29 50 33 50 mark model base oscillation zone still room,-1
Awesomeness Monday link swap risk around financial blogosphere via user AAP JO GA,1
JOSB outlier risk profile closer 24 interest see happen folks exit options write,-1
user T3ive A look strong breakout play,1
user CAT Sorry e NOT good I say I put Nice wide guidance kitty cat,-1
CSCO MSH MSH MSH 21 00 c mon mon,1
BAC roll could see 11 02 Bulls wait better setup,-1
F coil hard right,1
Take Profits Tighten stop SA indicate major correction loom OCN NSM EGN BID GMC FB NKD,-1
K ong 53 69 Trailing Stop 52 16 2 prior Stops 51 25 51 05,1
eading Stocks lag ES F much worse usual rally DDD SSYS SODA QIH Y PX KOS FT INVN,-1
Si VFC alcanza los 153 98 reconfirmaci n de la tendencia que lleva la sesi n provechando el rally alcista de final de sesi n,1
DDD set awesome look bear flag,-1
I think way many people buy dip 500 know aapl 420 plan equal mess,1
Closed ANY call today look enter pull back,-1
Jeff Bezos wonderful day usual thin Bastard amzn,1
DDD bear flag work well break go 60 55 quick money,-1
CSCO OO 21,1
VXY We Calling AAP bottom,-1
Shares FOM dry accumulation continue Daily technical indicators bullish,1
In fact I go short 100 share ANY public stop 25 11 open downside target work call option profit,-1
ABC 123 Clearing nice base Drugs PJP SPX SPY,1
user FTC decision FHTM ripple throughout whole industry dumb dumb HF NS SNA,-1
SFY would start trade second line start 33 30,1
GS daily See get tweezer top ABCD reversal short next days,-1
A typical set Over 26 11,1
AAP We close gap rally IMHO,-1
INAP 717 rid 10MA extend base bolly deviation1 10MA right room upper bolly,1
start ugly NFX today even though saw higher open,-1
HPQ oad every dip everyone want,1
HF NS SNA deep trouble Fortune sell exact BS supplement hold press conference,-1
user AAP hit 491 50 Hedge fund margin leverage highest level since 2004 The question many hedge fund blow today,1
PCN I promise fill short target day shock,-1
Out aapl 490p 8 50 47 5K,1
MT really ugly today downside volume nobody make doji accumulation attempt 65 min,-1
GNC perk despite general market weakness One better risk long setups long,1
Added short TM portfolio,-1
user PI nice early action watch,1
Definitely major top today 3d print back show period group exit plan rally methinks DDD SSYS,-1
PO perk Very strong specialty chemicals stock,1
user EPS South African payment system company really KCG even technically BY,-1
JPM want go higher XF SPY,1
PETM ooks like water come garden hose,-1
BK want buy lower hourly show improvement add long,1
ANY weird action seem like artificially stick 25,-1
tol find support top cloud,1
YHOO break 10y channel 21 22 resistance mid term bearish prove otherwise,-1
ZCS break last week hold well pull back low volume Keep eye possible breakout 83,1
watch CM ss VMW,-1
New Blog Post Momentum Monday AAP dip buyers miss market mojo,1
seller step 89 25 vmw,-1
Great move Guggenheim hire ex interim CEO YHOO,1
AAP DownTrend After Market Bullish Sentiment For Tomorrow,-1
AMZN pretty strong intraday support 269 5 I still support break,1
user time get cloud stock VMW CM valuations finally come earth thankyou,-1
APKT back 24 get interest,1
AMZN Bearish set ahead earn TCT members I write note even trade,-1
AAP earn,1
NKD 130 close may try get close upside start scale short target 120,-1
look INT clear time highs 10th time charm,1
INVN CEE wait slow volume red bar 2 move identical easy,-1
user erase open drive still 4 plenty room let consolidate,1
MOV may best best volume slow red bar 2 mkt drop 100 point cliff dive 5 point,-1
GOOG nice fast move low,1
AMZN new look AAP start plumment,-1
Again mkt FAT AAP 2 5 cratering thru huge psychological level tell tape strong SPY dontbeshort,1
GOOG leader pack ride gap fill 710 come higher joke,-1
AMZN remember hold 269 5 important break continuation Watch I long add break yesterdays high,1
The gap fill 53 47 DDD certain This ride profit thesis get test,-1
user HEO beautiful flag form 7 10 eventually,1
New Blog Post What Could go WONG And What Apple Still eading Market aapl spy qqq,-1
user NVDA grow cash cow 20 P T EOY 2013 2014 XK AMD STX QCOM INTC Technology,1
AAP range 500 350 go towards lower end,-1
PATH See real company new drug approval value lose shorters manipulation,1
DDD trend matter,-1
THC watch list set well yesterday today line volume 46 ave full day,1
DDD still fall pre market,-1
AJ watch list trigger cents yesterday continue today volume 41,1
Time short AX AMZN NTAP IBM cloud dead iPads come 128Gb version AAP eally Tim get,-1
ODP Breaking resistance,1
NGT FED bat JPM HSBC head Comex ME todays bash,-1
aapl 484 go level aapl trade today daytrade long side first quarter buy,1
user Sorry innovative thing AAP last 2yrs change size shape memory size crappy map snippy siri,-1
AN Confirming nicely today Seeing double bottom daily push 20 day move average 9 53 Good action,1
BTO AMZN Feb 16 210 put 1 olling dice,-1
TAB Mikel H Williams help acquisition Viasystems Group Dennis F Strigl use COO Verizon Com CEO Verizon Wirless,1
YHOO Yahoo iberal hangout History show us love big government always lose end,-1
Flipping AAP trade 6 point never get meaty trade still obviusly long chip away,1
ADJPY sit SPY put ENOC Only position,-1
user AAP In world Apple expect order components 65 million iPhone 5 handsets seasonally soft March quarter,1
KEX try short 8 47 fill 8 57 10 stop,-1
SWHC Obama speak tomorrow gun control legislation,1
ed Weekly Triangle PBY Net Profit 19 140 00 16 48,-1
CMG Not excite stock lately however upward trend still tact consistently push 20 day average 297 00 key,1
Green Weekly Triangle PBY Open Sell Short 10 95,-1
eading Stocks eading Stock Market ESIIENT days Further indication ally continue ES F GNC NSM EVE DDD STI NF,1
AMZN 1 200 lot bid Feb weekly 255P 27 delta could push market create resistance stock Will probably bid IV,-1
APO Being accumulate Bounce critical support 50 day 20 00 tell likely continue higher,1
AAP Dow Theory Volume must confirm trend When volume support trend,-1
CHK squeezie,1
AMZN low go,-1
VVS break flag setup MACD cross ong,1
VXY GS keep buy ES F futures contract FED funny money fight,-1
CHK 15 min kelt fire earlier lunch 17 50 AM 100,1
user good I today green weekly triangle since Jan 23 SNSS,-1
HPQ come back DE get buy HPQ ocket,1
Tops HPQ 3 17 CSCO 1 38,-1
AAP Why many people believe Apple comment stock decline b EC call quiet period reason,1
Jeff Bezo wizard Gross Margins get less gross AMAZON read Wall Street mind AMZN,-1
DGI DDD act strong end hod decent volume end,1
ed Weekly Triangle SNSS Net Profit 16 644 00 9 17,-1
WMB might fill gap reverse,1
user IMM I love short They reveal phone everyone see make younger think ip5 aapl,-1
FS inside day add long break stop live little 30 area,1
PCN 8 point since short call ST 700 close magic number break hard way 10 pts go,-1
BCEI Over 31 30,1
GOOG patience still mkt go red big,-1
DCTH Back 1 52 1 55 like volatility low price ones,1
user XOM target 89 50 mkt go red big tomorrow lead pack,-1
AMZN still uptrend motion Buy dip,1
AMZN Hunting elephants plan patience execution patience patience,-1
NFX next resistance level 110,1
BAC See negative price action tomorrow likely,-1
PCN long setup,1
NGT Dumping pop FED JPM CB intervention GD SV GDX HI GOX GDXJ,-1
VG consolidate inside large ascend triangle w TP around 3 Breakout watch 2 55,1
IMM lol AAP tlye presentation get creative guy,-1
BAC Yep Will B good day Financial As soon volume 9 30am ise P,1
stop CS 28 50 28 71 earlier sorry delay,-1
NEW POST Positive Earnings Cost Containment Continue Propel MS,1
iding FIE lot go,-1
OABC ong 16 55 Trailing Stop 22 80 8 prior Stops 21 16 20 18 19 00 18 70 16 74 15 90 15 25,1
My hot money canary DDD SSYS reverse lower,-1
TWC way potential breakout 99 channel Tgt 100 102 Wht think user,1
VXY AAP bottom look Add FAS FED Short VXY acct vacuum cleaner GDP OD Sandy news We relief fund,-1
NVDA break 30 min trend,1
NS start slide like HF MM shut KY ramifications imo long get nervous,-1
AAP ong position Apple reach 503 38 Maximum day Stop loss 500 4,1
BT Cortos en Peabody Energy si cae bajo 25 40 Stop loss 25 76,-1
AAP If Apple reach 504 44 change Stop oss put 501 60 Also chance go long,1
user BT Short Peabody Energy go bellow 25 40 Stop loss 25 76,-1
ANN 200 period hammer ooks good 4 month pattern,1
user BT Cortos en Peabody Energy si cae bajo 25 40 Stop loss 25 76,-1
BAC p p Step By Step esistance 11 65 67,1
NGT GDX GDXJ Short GOD Miners FOMC JPM note,-1
Dip buyers alive well everywhere user Dip buyers alive well JPM,1
Same story different day eaders lag aggards eading ES F fight bear AKS QIH Y EN KOS,-1
NVT 1 73 vs OC 1 73 I go w OC vol difference today roll end wk OC opinion could wrong,1
Seems AAP lose strength go higher,-1
BAC 11 75 12 00 Today,1
AAP Added short,-1
CNDO 5 78 ooking 7 one,1
AAP DownTend seem confirm break triangle,-1
NVT unusual increase socialvolume,1
NGT Nice bounce gap fill good reshort JPM move,-1
ong CF,1
GOOG hit head trend line break I like 755 put GOOG130201P755 2 60,-1
FIO ioSCale announce today Open Compute Summit hyperscale spin disk replacement another game changer,1
AAP fire sell signal hourly target 435 area short,-1
user Twitter followers Are bullish bearish AAP We want know Bullish cautious,1
user AAP Ok action make sense Yes make Sense ook Daily Volume since 3 days,-1
NVDA IHS daily oversold,1
AAP stock 17 start year If institution want book end month,-1
DECK Once prove bullish confirm bounce 20 day increase volume,1
user AAP stop kid support around,-1
AAP Still long Bulls charge today,1
AAP AAP close 455 01 plan swing put next couple days,-1
CSN catch bottom buy weird dip hope manipulation mean good things come,1
user AAP Gap sure tommorow,-1
GS solid move higher new highs today strong volume,1
FIO crush 20,-1
NYNY move right along,1
AAP Sinking hour Get eady gap Down Tomorrow Morning,-1
ed Weekly Triangle CSN ong 6 8815,1
Green Weekly Triangle PBY pdating,-1
WCG onged today swing,1
Has anyone short KEX What price,-1
AAP One reliable pattern I come across surprise intraday pattern study,1
A Q4 2012 operational cash flow 35million 141mil Q42011 75 decline Q4 vs Q4,-1
YHOO volume BIG Closing 20 today give enough fire make new 52 week high later week,1
A Q4 net income 50 million operational cash flow 35 million Q4 2012 OPS 70 EPS Q4 2011 OPS 440 higher EPS,-1
HPQ open 18 tomorrow,1
A year end account payable increase 43 100million 143million,-1
user hey great call HPQ think fund buy O,1
A name Dark Cloud Cover candle pattern MHO Y SAFT FXS,-1
BAC IMHO think gap E,1
MCP still mine asteroids short update,-1
HPQ I go nail Mofo HPQ go Spotlight tonight ooking eal Gapper tomorrow,1
A name Bearish Engulfing candle pattern AEX AFG ASFI ATHN BECN TMH GW FO MHK IBN CS AOS BT AIXG JBHT NHI,-1
SWHC bet PM mid high 9,1
user KiwiS hello friend see CSN pre market today untouchable situation,-1
AAP We long Call atio Back Spread,1
More name Bearish Engulfing candle pattern BECN AYI HCG MO SG MP EG BMS CEN WIE INE,-1
user HPQ double top take close watch learn,1
VXY GS JPM HFT PPT Window Dressing program online,-1
G SWHC Market may figure legislation gun pass much Shootings Time load,1
AAP break 453 63 see retest 435 low lower fairly soon thereafter,-1
BAC ike I tell 11 75 AfterMrkt Very Good Setp Tmorrow,1
NFX Netflix Inc NFX Increased Debt Causes Concern EPOT,-1
The GOOG daily chaos event look good green line move white like dec9 move,1
VIX rise eaders lag reverse vol laggards lead speculative name climax ignore warn DDD SODA Y FB,-1
HPQ Autonomy look total loss could sell wish HPQ strong ptrend OAD,1
Four Bearish Canaries In Bullish Coal Mine AAP TIP KOS SPY,-1
HPQ many upgrade tomorrow assume Autonomy worth something,1
I would short AAP right I want put position 455 51,-1
HPQ nice close imo,1
APO Short setup 50DMA weak group Downside 15 50 initially,-1
CSN My target remain 9 data More news,1
AT Declining growth margins Head Shoulders setup PE contraction Downside Price Target 25,-1
DVA really nice break DT line volume today,1
AMZN ooks like stock top Today another distribution day,-1
Big win broker New Mini Options Bring Big Changes For Traders via user SPY AAP GOOG AMZN GD,1
Gap backfill FIE,-1
WMt buy signal easy math baby good discount,1
AMZN I rid remain position stop 290 ooks like chickens come home roost,-1
think M call early scream fashion makeover WOW look good,1
TPX move play motion 35 33 cover,-1
JPM whale trader,1
CEE tip edge go fall target 39,-1
V Over 11 35,1
user ots ppl r make move Samsung I go EWY AAP start reduce ipad screen size call new model,-1
Disney new Infinity game go huge My take DIS ATVI,1
user Class action DE may reason Search Mohan et al v Dell Inc Case detail,-1
PGX hype spot 6 b 6 91 resist daily til 200SMA 7 33ish 50SMA slide,1
IACI short setup bear flag neckline last week,-1
DN first hint trendline break upside,1
Green Weekly Triangle SHO pdating Scaling Down,-1
AAP Going confirm theory sell come inside info last 45 days cat bag suckers leave bullish,1
Video Analysis 16 3 day trade short AMZN,-1
BAC Bank Of America Earnings Stronger Than Expected,1
TM ahhh stupid prelim result short want add put earn,-1
GOOG AMZN call watch list day trade Taking break AAP,1
user AAP 40 minutes get 460 pre market ot fool B toast,-1
AIG Going premarket somebody know something I know,1
ES SPY You CNBC real time assessment job number mkt reactions,-1
BAC since earn seem impact price break 12 card Good longterm hold,1
AAP PMI Manufacturing Index In Few minutes,-1
ANY look good 22 50 call,1
AAP If PMI Manufacturing Index eslts Bad Below 450,-1
Trade Setup AKAM,1
AAP longer trend finally ppl get hint The growth innovation story PT 375 fair value,-1
Trade Setup AA,1
user AAP How come spy go daily AAPl No More Growth,-1
Trade Setup CF,1
AAP Nothings go Straight Down Straight High Main Trend AND Volume look,-1
OW PT hit resistance,1
user AAP people think growth slow true bec quarter 13 weeks ook Year Over Year Same Quarter,-1
SANM watch list volume 9 ave full day slightly line,1
user AAP rookies sell today Mest loose OTof Stubborn,-1
HPQ Explode today 18 come imo,1
user right thing stop AAP flip short Ther OTHES Stock Better nless AEADY Short,-1
You garden wall browser AMZN AAP,1
AAP Cracked,-1
American Apparel APP present,1
user AAP let us go 425 sorry long I long also r iht 425 annd IF consolidate 3 5 Week After Bullish,-1
CSN Correction Thermodox nanosoccer ball anti vascular well anti neoplastic,1
KEX break 8 49 secondary price obvious signal,-1
PI daily thx head user,1
ed Weekly Triangle CB Net Profit 1 797 00 3 44,-1
GME 23 40 look good go,1
Green Weekly Triangle CB Open Sell Short 3 38,-1
WOW saw price next weeks E GOOG 720c 20,1
AAP touch unless get close 465 volume Earnings gap,-1
raise stop OW right today low around 35 90,1
user AAP back 450 guess pin,-1
WN ong 19 79 Trailing Stop 26 64 7 prior Stops 24 39 23 76 20 42 19 79 18 09 17 13 16 39,1
AAP aw Attraction Newton Sem Win Again,-1
NG like stewie mention 20MA First pullbk2 would B good 2nd entry,1
eality hit NKD eiterated Sell worth 80 per share PT base discount cash flow analysis,-1
IN SOME ANA,1
AAP I agree 450 pin Afternoon,-1
Bookmark arry Page Moonshots matter must options market exist goog,1
NFX I say feel like another distribution day,-1
SWY drink Safeway store brand Columbian whole bean coffee SBX cup,1
guess happen chase SYNM,-1
Back BK long Nice reaction earn This make runaway type gap,1
AAP To much peak either side Down Broken Good 4 Trade investment IMHO,-1
KOS keep wish first cousin look good,1
AAP Almost every long want goo Week End Nobody wnat catch 350 400 months,-1
TIVO hold well MA 50 11 60 morning I believe long setup,1
user AAP 450 pin Yep 450 00 Pin,-1
user ANA look like coil set,1
AAP emember last Friday last 5 minutes APP Collapsing,-1
HOTT FNGN PIM FNF moonshots,1
Big Block Trade Alert IG 504260 share SOD 6 50,-1
IPX biotech watchlist vol 42 full day ave move toward gap 200 day need vol,1
AAP Will Pin 450 bellow,-1
SWY wow number bear week scale little today,1
AAP Closed short 1K Will short ater till gap Filled HAve Nice Week End G,-1
AAP 900 lot offer eg Jan 500 Put 1 71 28 delta put could push stock create support,1
SCM Scaling short,-1
WCG Everybody look something buy basement trade w,1
FIO action super strong tape Not bullish,-1
AMZN try break higher,1
C eckitt Benckiser ticker meet equal dist tgt bearish weekly candle,-1
user INTC Yep follow money look like something good come pipelines,1
AAP hard time moment 8dsma line continue watch one,-1
GS explode last hour Green bar since 1,1
COH Monthly h get closer snap neckline,-1
BAC turn run SPY watch EOD eversal,1
AAP come far gap fill 425 fit Eiffel tower analogy Need 2 search Eiffel site know,-1
FAF look good Pivot range 24 87 26 11 Volume 76 today See close get days highs 25 60,1
CEG daily reject Fibextension bat short ter h Wait setup user,-1
C Big Pop BAC Follow,1
If OII short They 1B liabilities cash,-1
ZNGA There lot support SMAs I bot share 2 54 Falling low volume,1
AMZN SI MACD suggest downside near term support region 260 50ema,-1
GEVO Watch break 2 08 test recent highs 2 43,1
A GOOD TIME TO STEP BACK AND CONSIDE THE BIG PICTE ES YM TF SPY S C EC JY,-1
user BAC Consolidation progress yep consolidate 10 Should go Emotions Anonymous Take hard,1
SCM Going tank real soon IMO,-1
ZION Cup Handle pattern The stock would confirm pattern break 22 8,1
CEE short 43 83 target 43 lower,-1
GEVO Broke bull flag pattern upside today move accompany high volume,1
AAP No kid Terranova,-1
Added hold AAP BID FB AH Also hold DDD Down 25 cash,1
GOOG like say 7hours ago national GOOG put week Easy 50 option scalp NFX put go weeee,-1
BAC Hawken price target 11 50 estimate company earn 95 cents 2013,1
CEE short 43 76 avg short 43 73,-1
Nice one user Marketshare Margin AAP dilemma,1
COH head shoulder update,-1
DPZ nice intraday upward reversal add bull flag keep watch move 46,1
AMZN Has Post Earnings eversal,-1
TEX another nice bull flag watch MACD signal next breakout,1
YM fail break Downtrend continuous,-1
WH also strong day today look ready next leg,1
K close lower slowly greater average volume Be Aware,-1
GMC keep nice consolidation make big move soon MACD SI turn,1
PCN Short interest low 5 BEAISH POINT AND FIGE TIANGE GAP lower confirm 625inplay,-1
AJ really strong caution overbought SI decline MACD,1
SPY ES We trade see turn CNBC noise nonsense trust ur technicals,-1
CEN nice gap support look ready head higher,1
WAG good stock winner turn horrible company employees,-1
WYNN nice bullish consolidation could pop soon,1
MCP take chatter I know laugh,-1
VS similar pattern WYNN bull flag build keep watch,1
NFX fail attempt new high possible hesitation top I like NFX130208P170 3 60,-1
NFX hammer breakout back test watch tomorrow bounce,1
NFX look good far hourly ooking pull 20 ema hrly 170 maybe,-1
INTC Anyone thoughts late algo trade option OI affect stock price tomorrow My guess 20 50 21 50 close,1
AAP Short 451 50 Will go soon Mrk ollover,-1
Need body part IHI SYK MDT ZMH user nice call BSX,1
sell amzn stock better flat,-1
AAP QIH The cheapest transparent China play Apple I avoid SOEs management decisions base guanxi party interest,1
AAP Begin ollover I,-1
user a36tran user I say many time AAP big money shift towards stock I 11 12 13 14,1
Are see minor pullback NFX begin major correction This investor test water Still bearish,-1
OW Breaking new 52 week high,1
MHP MCO SPX SPY Will S P Moody threaten sovereign downgrade response mortgage fraud action,-1
G quiet lately good get pop,1
MHP MCO SPX SPY CNBC report Justice seek 5B S P mortgage rat civil case criminal charge date,-1
IF Over 19 60,1
user AAP Sold CNBC dump come,-1
Intel earn capex mobile matter EPS I mean PC biz decline news INTC HPQ AAP DE AMH,1
BI QIK win functionality lose cost 2 Q defer rev decline back end load estimate tough bar 4Q,-1
NEW Blog Post Watchlist F KBH GPX SSQ SBX CSOD HD WT OCN EBAY TEX I CHK ITG S,1
ZNGA When company beat 1cents seriously doubt due account trick,-1
BAC user Hope consolidation level drop stop 11 support Nxt 4 5 day come back to12 IMHO,1
MHP Kids steroids,-1
GEO nice pop morning move stop breakeven,1
good equator user ZNGA yoy sales growth last six Q 80 59 32 19 3 0,-1
long ACI 7 39,1
ooks like intermediate bullish trend break SNTA safe money months,-1
CEE clear chase enter Monday ong,1
CS weekly tie heavily AAP absent catalyst pattern persist,-1
V far find support ceiling old channel look good hold,1
AMN Yep like I say Penny stock make,-1
SHW ong 131 42 Trailing Stop 140 12 4 Stops 138 36 125 06 122 79 118 70,1
AMN Not become penny stock company continue dilute share like EC Silver past,-1
user G two weeks away earn ready rocket within two days,1
IBM Short Setup 196 25 target,-1
WH gap fill,1
AAP BOKEN STOCK,-1
Monday AAP say 500 pin still confident close 500 pin take look crazy OI spike,1
AAP Going 435 IMHO,-1
STT strong bounce today continue make new highs share one days Nice run,1
AAP Follow downtrend,-1
CSN Another SA article ONGS,1
AAP Short,-1
SWY corn run bear get cob SWY,1
AAP Drop like ock,-1
AAP Wall St hat stock currently Careful short anything short disaster view positively Bit risky long MainEvent,1
AAP The Dump come faster pump IMO,-1
FIO Insightful analysis Fusion io avoid commoditization via user,1
AAP Dump Progress,-1
CSN I know crazy think WHAT IF go green EOD,1
look like someone get tire BJI go today,-1
SCHW break flag,1
AAP Free fall Now 457,-1
GS Ask pummel managers miss afraid miss train,1
CEE short higher short 44 35,-1
WH nice round reversal pattern intraday since gap fill,1
user AAP continue volume confirmation take higher watch closely reshort one,-1
ES F spike bottom eading Stocks comatose still lead WAKE P OCN SBGI NSM FIVE GNC Makes say hmmmm,1
AAP share insight volume key POSTED VIDEO,-1
AMAT reach high overbought condition I wait pullback enter long,1
AMZN short work nicely watch break run 262,-1
ZION Stalking Cup Handle potential breakout w anemic volume Handle Breakout candidate,1
AAP Sinking,-1
Big boy stock GE start build constructive right side current 14 week cup base,1
AFFY break support line 18 41,-1
AAP This possibility exist,1
NGT ECB BOE FED JPM HSBC shortfest GC F GD SV tomorrow morning Test weekly OWS,-1
DNKN see lot talk one put another nice day steady uptrend,1
AAP Volume ABSENT Soon number negative,-1
ltra base TEK ltratech Step Stepper,1
AAP Drop,-1
AN eversal confirm close nicely 20 day 9 47 Also confirm today IMM CHK Others I like,1
JOY anticipate bear flag break,-1
Wk 3 13for2013 portfolio DDD DNKN FT INVN KOS NKD MOV NTSP AX SCCO SCA SSYS V,1
OC weakness might hit dime 34,-1
INVN report next week 3rd 13 5 gain year 13for2013 watch cup w handle wkly,1
AAP 500 lot bid Feb 440P 3 00 could create resistance temporary sell,-1
NTSP laggard 13for2013 portfolio 2 03 year close 50,1
AAP Covered Pay dividend short Tomorrow,-1
ACHC I might crazy stock rise ow volume however Price matter first,1
user AAP Cover Shorts unless want pay dividend Done reshort tomorrow,-1
CST watch inverse h 20days2cover,1
Tomorrow stock Should Gap Average 10 60 dividend AAP,-1
Watching HOV bounce upside It appear touch 61 8 Fib last Friday close,1
user user AAP still hold short 451 50 No cost 300 overnight keep short premarket,-1
BAC Bank Of America Will ikely Double Again Within 3 Years These stock IA,1
GMC head 37 Bombs AWAY,-1
SHD Appearance 180 Bullish Cup Handle Someone put SPD,1
GMC Weekly dead cat retrace NO volume Bagholders bail en masse,-1
Tight consolidation 9EMA quite bullish I stalk SII potential long entry,1
GMC ICE 37 Short away,-1
EW Into gap Over 95 00,1
GMC 37 No Brainer FEE CASH Sell MOTIME SOTP,-1
FOE Over 4 60,1
Prudential liquidate CM stake 1st ones ship get lifeboats,-1
PAB resistance June Sept Over 6 21 start trade,1
ES EC JNK DAX Is S P diverge key mkts The canaries,-1
xray Over 41 00,1
GMC 37 next target Bailing VOME next week,-1
ooking catch Nat Gas producers like NG Bought february 18 call CHK,1
AAP look like nice short 460,-1
SCSS usually like make run 30 32 level Bought february 30 call swing,1
SCM Very slow holders start sell real soon IMO,-1
Friday high quality breakouts still within range pivot point TV TMI OC WT MDZ FEIC HA SB OTEX,1
AMZN nibble short,-1
AEO TECHNICA TADES WATCH IST tonight These 20 stock good characteristics market strong,1
AAP On next pop I trade I short quick trade,-1
CGX TECHNICA TADES WATCH IST tonight These 20 stock good characteristics market strong,1
AMZN break 50 day MA,-1
CVT TECHNICA TADES WATCH IST tonight These 20 stock good characteristics market strong,1
user Einhorn sound like trap long care prefer stock last year AAP,-1
GDI TECHNICA TADES WATCH IST tonight These 20 stock good characteristics market strong,1
O orillard option trader buy 5k Puts bet 15 move A bad earn omen,-1
SM TECHNICA TADES WATCH IST tonight These 20 stock good characteristics market strong,1
Scaling AMZN put put bot 1 2 2 50,-1
surprise upside user With negative AAP news feel like short term bottom come,1
BBY Headed back 5 saturate Cell Phone Market That GOOG next mobile Microsoft OS,-1
BAC Bank Of America Is The Best Bank Stock On The Dow,1
CEE go back 44 00 short I think I make 10 point week one,-1
DECK sucker move ways time like long,1
AAP Still look like trouble sign low remain bearish elliottwave,-1
iberty Media report increase stake 50 25 SII Breakout watch 3 19,1
MED 21 Volume pick,-1
DDD seem buy everyone raise PT ATH etc eminds aapl 700 At time I want buy,1
OMX another bricks mortar dinosaur fall online retail Details,-1
Bullish QIH AAP IBM,1
CEE short entry 44 36,-1
GOOG glass definitely give AAP run money,1
Green Weekly Triangle CB pdating,-1
GS might get start position 140 add 138 get,1
AAP Volume Fade away like usual,-1
NG watch list sneak line volume 4 ave full day,1
AAP Short 468 44 NO NEWS sustain volume,-1
OPEN table line form watch list vol 7 ave full day,1
Green Weekly Triangle ESSX update,-1
Buying back goog sell 730 stream weeks ago,1
S Jobs Keeping Money innovate buy New Tech since AAP longer innovate keep,-1
VVTV We 2 55 per share This look like good one move already sell 7 gain stock insidertrading,1
user AAP typical pump dump today talk later tonight via video,-1
O I start see Blu everywhere small portion business holiday sales may BTE,1
AAP Beautiful Bull Trap,-1
INTC BY 500 21 10 STOP 19 00,1
AAP No Volume No Conviction Bearish,-1
XF move VOME today resistance Close 17 20 I grab GS JPM swing trade,1
AAP Volume Fade fast,-1
KO make sugar sell local COST Consumers prefer CA user Cola make shift nationwide I bullish SB F SPY,1
INT 1 SMB adar weak today,-1
VA ong 43 07 Trailing Stop 60 12 12 Stops 58 98 54 53 52 45 48 05 47 32 41 32 39 57,1
Mining relate stock show weak relative strength versus ESD ES F last weeks FCX NEM A GG GD SV CF MCP ACI,-1
D pay nice dividend tomorrow hold well Would like see close 10 longer term look good 14 imho,1
user AAP Highlighted Major esistance Areas To Watch,-1
DDD ong 27 95 Trailing Stop 46 44 9 prior Stops 45 23 42 35 41 70 39 03 25 44 22 93,1
NFX Time Major Correction,-1
WFM look really good break DT line good volume far,1
AAP Who really want break stock nless keep E Being Trapped,-1
user On significant Vol 11 30 BAC good Entry IMHO,1
OPK low day 6 08 arge candle wick grow downward MACD divergence downward Stochastic downward divergence SI downward,-1
DDD strong winner buy right sit tight Darvas would say hold em stop move,1
